,year,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,Film-noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
0,1922,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0
1,1926,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2,1930,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
3,1931,0,0,0,0,0,44,0,0,0,44,0,0,0,0,0,44,0,0
4,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0
5,1933,0,0,0,0,93,0,0,0,0,0,0,0,0,1,0,0,93,0
6,1934,0,0,0,0,96,0,0,5,0,0,0,15,60,15,0,0,0,0
7,1935,0,0,0,0,22,0,0,0,0,0,46,21,0,21,0,59,0,0
8,1936,0,0,0,0,27,0,0,12,0,0,0,0,0,0,0,0,0,0
9,1937,0,0,172,172,18,0,0,34,0,0,0,190,0,18,0,0,0,0
10,1938,67,67,0,0,68,0,0,69,0,0,0,0,0,0,0,0,0,0
11,1939,0,246,0,255,41,1,0,532,0,0,0,246,0,197,0,0,171,0
12,1940,0,13,275,275,206,0,0,0,0,0,0,174,0,170,0,81,0,0
13,1941,0,0,123,123,0,0,0,231,0,138,0,123,138,8,0,0,0,0
14,1942,0,0,0,0,18,0,0,261,0,0,0,0,0,243,0,0,261,0
15,1943,0,20,0,0,1,0,0,1,0,0,0,0,1,0,0,0,20,2
16,1944,0,0,0,0,115,40,0,0,0,49,0,31,190,0,0,159,0,0
17,1945,0,0,22,22,0,0,0,1,0,0,22,22,30,30,0,30,0,0
18,1946,0,0,0,0,0,1,0,233,0,125,0,0,73,52,0,52,0,0
19,1947,0,2,0,0,0,4,0,43,0,5,0,0,0,45,0,0,0,6
20,1948,0,80,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0
21,1949,0,0,0,4,0,0,0,6,0,0,0,18,72,0,0,72,0,0
22,1950,0,0,129,136,60,0,0,77,0,65,0,129,1,0,0,0,0,0
23,1951,152,152,81,81,0,0,0,195,0,0,0,131,0,202,97,0,152,0
24,1952,0,0,0,0,67,0,0,0,0,0,0,137,0,204,0,0,0,88
25,1953,0,0,0,0,77,0,0,0,0,0,0,9,0,68,0,0,0,0
26,1954,121,72,0,72,71,0,0,131,72,0,0,0,277,64,72,277,0,121
27,1955,0,0,0,0,50,0,0,167,0,0,0,0,0,50,0,50,0,11
28,1956,0,59,0,0,59,0,0,52,0,0,0,0,0,0,67,0,0,0
29,1957,0,0,0,64,31,0,0,459,0,0,0,21,0,36,0,0,198,0
30,1958,0,32,0,0,1,34,0,99,0,34,46,41,179,0,46,213,0,1
31,1959,124,124,0,30,337,128,0,124,0,0,0,0,0,0,0,179,0,0
32,1960,0,39,0,66,90,7,0,90,0,0,239,0,0,239,0,246,0,0
33,1961,0,0,0,73,0,0,0,168,0,0,0,0,0,95,0,4,0,0
34,1962,0,173,0,0,0,0,0,220,0,217,0,0,0,0,0,217,173,0
35,1963,0,124,82,82,40,0,0,38,0,0,162,0,40,40,194,40,318,0
36,1964,0,0,0,178,178,0,0,0,0,0,0,303,0,125,0,0,0,0
37,1965,7,0,0,19,57,0,0,7,0,0,0,253,19,0,12,0,0,0
38,1966,137,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,137
39,1967,0,0,0,0,164,122,0,564,0,0,0,0,0,239,0,0,0,0
40,1968,0,28,75,75,0,0,0,263,0,0,66,0,259,0,351,259,0,0
41,1969,216,0,0,50,266,0,0,0,0,0,0,0,0,0,0,0,0,297
42,1970,0,0,54,54,206,0,0,136,0,0,0,0,0,0,0,0,342,0
43,1971,0,383,0,383,504,0,0,26,0,0,0,57,0,0,221,0,57,0
44,1972,413,0,0,0,16,413,0,452,0,0,0,0,0,0,0,0,0,0
45,1973,0,0,0,0,323,241,0,13,0,0,0,0,0,0,82,0,0,0
46,1974,209,11,0,11,619,209,0,210,0,147,205,0,147,0,0,147,0,0
47,1975,280,110,0,55,25,13,0,264,30,0,280,0,0,0,0,0,0,25
48,1976,0,0,0,0,0,0,0,10,0,0,215,0,0,0,0,0,0,0
49,1977,583,626,43,43,180,0,0,0,0,0,12,43,0,763,583,0,583,0
50,1978,66,0,0,0,217,0,0,120,0,0,66,170,0,170,0,0,120,0
51,1979,408,117,0,0,381,0,0,352,0,0,344,0,11,91,419,291,221,0
52,1980,618,367,0,0,320,0,0,565,0,0,229,251,0,449,367,0,367,0
53,1981,763,691,134,61,43,4,0,172,0,0,216,0,66,66,164,157,0,0
54,1982,244,244,0,300,163,0,0,712,300,275,62,215,0,24,819,0,114,0
55,1983,16,0,0,0,63,0,53,157,0,0,22,0,0,0,0,0,53,0
56,1984,472,171,0,0,191,50,0,684,0,0,111,191,276,0,472,351,121,0
57,1985,0,0,0,0,548,0,0,164,0,0,0,0,0,1,558,1,70,0
58,1986,888,579,32,32,277,0,0,647,0,0,18,0,0,354,515,316,443,0
59,1987,583,413,0,0,807,0,0,338,1,0,121,98,0,538,0,16,170,0
60,1988,344,67,72,22,469,0,35,214,0,0,0,0,0,138,50,294,0,101
61,1989,948,746,0,0,521,201,0,1263,0,0,0,0,0,290,214,182,295,0
62,1990,579,256,0,137,624,316,29,970,0,89,4,0,0,453,0,690,0,300
63,1991,456,161,202,202,172,0,17,904,24,0,13,248,0,0,544,856,34,0
64,1992,684,142,285,219,671,445,0,546,0,0,314,219,101,652,315,466,247,182
65,1993,1675,724,118,347,2515,384,38,2662,0,4,192,162,179,1498,616,1144,387,117
66,1994,1741,878,244,605,3524,784,222,3787,211,0,375,237,109,2367,358,1521,499,319
67,1995,2328,1018,550,1118,3641,1143,23,4677,157,57,294,113,140,2455,1108,2456,282,60
68,1996,4573,2793,748,1038,5798,1035,232,8513,458,82,962,852,613,3477,1678,4496,1832,87
69,1997,5674,1963,164,775,4480,2340,99,6700,96,370,573,206,2198,3359,2716,6024,1763,0
70,1998,220,62,0,3,281,95,10,531,3,30,54,28,66,142,92,481,0,0
